portfolio_id,flow_date,buy_flow,sell_flow,net_cash_flow,dividend_income,buy_count,sell_count,dividend_count
1,2025-01-02,123658743.10,0.00,123658743.10,0.00,1,0,0
1,2025-01-03,104440939.57,0.00,104440939.57,0.00,1,0,0
1,2025-01-06,159939802.01,0.00,159939802.01,0.00,1,0,0
1,2025-01-07,25787292.18,0.00,25787292.18,0.00,1,0,0
1,2025-01-09,75967402.64,0.00,75967402.64,0.00,1,0,0
1,2025-01-10,36378236.67,0.00,36378236.67,0.00,1,0,0
1,2025-01-13,98539137.99,0.00,98539137.99,0.00,1,0,0
1,2025-01-14,94827911.72,0.00,94827911.72,0.00,1,0,0
1,2025-01-15,60498513.91,0.00,60498513.91,0.00,1,0,0
1,2025-01-17,103457114.23,0.00,103457114.23,0.00,1,0,0
1,2025-01-20,41839389.03,0.00,41839389.03,0.00,1,0,0
1,2025-01-21,30672624.83,0.00,30672624.83,0.00,1,0,0
1,2025-01-22,84071852.90,0.00,84071852.90,0.00,1,0,0
1,2025-01-24,105594186.36,0.00,105594186.36,0.00,1,0,0
1,2025-01-28,29853352.34,0.00,29853352.34,0.00,1,0,0
1,2025-01-29,56613956.96,0.00,56613956.96,0.00,1,0,0
1,2025-01-30,40056791.49,0.00,40056791.49,0.00,1,0,0
1,2025-01-31,53519600.39,0.00,53519600.39,0.00,1,0,0
1,2025-02-03,103248644.59,0.00,103248644.59,0.00,1,0,0
1,2025-02-04,61721911.35,0.00,61721911.35,0.00,1,0,0
1,2025-02-05,0.00,15110702.38,-15110702.38,0.00,0,1,0
1,2025-02-06,0.00,8708612.60,-8708612.60,0.00,0,1,0
1,2025-02-11,16437070.47,0.00,16437070.47,0.00,1,0,0
1,2025-02-12,0.00,0.00,0.00,256065.56,0,0,1
1,2025-02-14,19464019.60,0.00,19464019.60,0.00,1,0,0
1,2025-02-17,17868435.99,0.00,17868435.99,0.00,1,0,0
1,2025-02-27,0.00,13151365.50,-13151365.50,0.00,0,1,0
1,2025-02-28,0.00,0.00,0.00,208819.80,0,0,1
1,2025-03-03,22430786.10,0.00,22430786.10,0.00,1,0,0
1,2025-03-06,0.00,33508671.27,-33508671.27,0.00,0,1,0
1,2025-03-13,27717078.29,0.00,27717078.29,0.00,1,0,0
1,2025-03-26,0.00,0.00,0.00,325478.78,0,0,1
1,2025-03-28,0.00,0.00,0.00,226776.73,0,0,1
1,2025-04-15,0.00,34023266.01,-34023266.01,0.00,0,1,0
1,2025-04-16,0.00,55024892.12,-55024892.12,0.00,0,1,0
1,2025-04-17,0.00,0.00,0.00,993152.56,0,0,1
1,2025-04-23,12268691.09,0.00,12268691.09,0.00,1,0,0
1,2025-04-28,6895007.89,0.00,6895007.89,0.00,1,0,0
1,2025-05-02,47265980.62,0.00,47265980.62,0.00,1,0,0
1,2025-05-06,0.00,46280664.14,-46280664.14,0.00,0,1,0
1,2025-05-08,0.00,36270496.50,-36270496.50,0.00,0,1,0
1,2025-05-14,0.00,62737700.38,-62737700.38,0.00,0,1,0
1,2025-05-21,0.00,0.00,0.00,555328.26,0,0,1
1,2025-05-26,9188187.00,0.00,9188187.00,0.00,1,0,0
